,0
metadata_participant_75_stimuli_06_sacc_chap_23.pt,0.23937978377188987
metadata_participant_68_stimuli_11_sacc_chap_10.pt,0.5983502532448796
metadata_participant_101_stimuli_11_sacc_chap_14.pt,0.15548697209763843
metadata_participant_65_stimuli_06_sacc_chap_05.pt,0.5852016114782972
metadata_participant_53_stimuli_01_sacc_chap_09.pt,0.3543644422394116
metadata_participant_43_stimuli_09_sacc_chap_19.pt,0.1354114062844693
metadata_participant_61_stimuli_14_sacc_chap_13.pt,0.24019599456642887
metadata_participant_75_stimuli_06_sacc_chap_26.pt,0.31694379522128907
metadata_participant_77_stimuli_01_sacc_chap_09.pt,0.18163260890765992
metadata_participant_104_stimuli_13_sacc_chap_04.pt,0.2518415344009327
metadata_participant_71_stimuli_06_sacc_chap_23.pt,0.2736035503151286
metadata_participant_62_stimuli_02_sacc_chap_11.pt,0.25173088418062783
metadata_participant_105_stimuli_12_sacc_chap_10.pt,0.14409745302903404
metadata_participant_113_stimuli_14_sacc_chap_06.pt,0.19682477992063208
metadata_participant_46_stimuli_03_sacc_chap_04.pt,0.2546341042888187
metadata_participant_69_stimuli_06_sacc_chap_08.pt,0.1537250711922384
metadata_participant_12_stimuli_14_sacc_chap_10.pt,0.2724432470893139
metadata_participant_104_stimuli_11_sacc_chap_25.pt,0.24844384846930692
metadata_participant_63_stimuli_03_sacc_chap_05.pt,0.17966772556755628
metadata_participant_79_stimuli_12_sacc_chap_01.pt,0.1731439043533599
metadata_participant_90_stimuli_02_sacc_chap_01.pt,0.23258207944029896
metadata_participant_95_stimuli_06_sacc_chap_10.pt,0.22594997303697698
metadata_participant_45_stimuli_13_sacc_chap_08.pt,0.4929820533510868
metadata_participant_75_stimuli_12_sacc_chap_10.pt,0.3460589166174314
metadata_participant_68_stimuli_11_sacc_chap_27.pt,0.23012378670993508
metadata_participant_75_stimuli_06_sacc_chap_03.pt,0.49696088287915985
metadata_participant_101_stimuli_11_sacc_chap_18.pt,0.24508638079991188
metadata_participant_46_stimuli_03_sacc_chap_08.pt,0.1995682707355694
metadata_participant_87_stimuli_14_sacc_chap_06.pt,0.278298836800011
metadata_participant_65_stimuli_11_sacc_chap_23.pt,0.2312838101657442
metadata_participant_67_stimuli_01_sacc_chap_08.pt,0.3050443228115882
metadata_participant_80_stimuli_03_sacc_chap_01.pt,0.2083843465338132
